,name,upjong,address_x,category,rating,평점_건수,평점_합계,평점_평균,평점_표준편차,Column1,address_y,Latitude,Longitude,상태
3525,씨유서귀서광동리점,편의점,"제주특별자치도 서귀포시 안덕면 중산간서로 1817, 1층",안덕면,5.0,9.0,39.0,4.333333333333333,1.0307764064044151,1173392.0,"제주특별자치도 서귀포시 안덕면 중산간서로 1817, 1층",33.28684,126.3282,정좌표
3526,카페비아라테,커피숍,"제주특별자치도 서귀포시 안덕면 중산간서로 2093, 1층",안덕면,5.0,94.0,449.0,4.776595744680851,0.4436955102186062,1173412.0,"제주특별자치도 서귀포시 안덕면 중산간서로 2093, 1층",33.28539,126.3013,정좌표
3527,사우스카페,경양식,"제주특별자치도 서귀포시 안덕면 화순로 191-43, 지하1,지상1층",안덕면,4.0,916.0,4468.5,4.878275109170306,0.36014216177954633,1173620.0,"제주특별자치도 서귀포시 안덕면 화순로 191-43, 지하1,지상1층",33.24539,126.3259,정좌표
3528,무민카페제주점,커피숍,"제주특별자치도 서귀포시 안덕면 병악로 420, A동 2층",안덕면,5.0,66.0,289.5,4.386363636363637,0.9273429974745241,1188788.0,"제주특별자치도 서귀포시 안덕면 병악로 420, A동 2층",33.3068,126.3815,정좌표
3529,감성농부,일반조리판매,"제주특별자치도 서귀포시 안덕면 중산간서로 1809, 1층",안덕면,5.0,116.0,579.0,4.991379310344827,0.09284766908852589,1188926.0,"제주특별자치도 서귀포시 안덕면 중산간서로 1809, 1층",33.28695,126.3291,인근좌표
3530,허브마세리아,커피숍,제주특별자치도 서귀포시 안덕면 동광로 222,안덕면,5.0,13.0,62.5,4.8076923076923075,0.3839738238941522,1189188.0,제주특별자치도 서귀포시 안덕면 동광로 222,33.31506,126.3444,정좌표
3531,카페포도,커피숍,"제주특별자치도 서귀포시 안덕면 산록남로 788, 포도뮤지엄",안덕면,4.5,9.0,42.0,4.666666666666667,0.3535533905932738,1189214.0,"제주특별자치도 서귀포시 안덕면 산록남로 788, 포도뮤지엄",33.31927,126.386,정좌표
3532,카페루시아(본점),커피숍,제주특별자치도 서귀포시 안덕면 난드르로 49-17,안덕면,4.5,264.0,1180.0,4.46969696969697,0.7769433521578422,1189232.0,제주특별자치도 서귀포시 안덕면 난드르로 49-17,33.23498,126.3637,인근좌표
3533,와플칸플레이사계점,일반조리판매,"제주특별자치도 서귀포시 안덕면 사계남로216번길 29, A동 1층 101호",안덕면,4.0,29.0,133.0,4.586206896551724,0.791347917855096,1189790.0,"제주특별자치도 서귀포시 안덕면 사계남로216번길 29, A동 1층 101호",33.23382,126.3104,정좌표
3534,산방소녀,커피숍,"제주특별자치도 서귀포시 안덕면 화순중앙로12번길 39, 상가동 103호 (서귀포 화순 코아루 푸르나임)",안덕면,5.0,27.0,135.0,5.0,0.0,1189848.0,"제주특별자치도 서귀포시 안덕면 화순중앙로12번길 39, 상가동 103호 (서귀포 화순 코아루 푸르나임)",33.24917,126.3304,정좌표
3535,터틀락,커피숍,"제주특별자치도 서귀포시 안덕면 한창로110번길 44, 1층",안덕면,5.0,57.0,281.0,4.9298245614035086,0.22036083418590477,1189924.0,"제주특별자치도 서귀포시 안덕면 한창로110번길 44, 1층",33.27732,126.3635,정좌표
3536,지에스25서귀신화로,편의점,"제주특별자치도 서귀포시 안덕면 신화역사로 185, 1층",안덕면,4.5,10.0,43.0,4.3,0.5374838498865699,1190038.0,"제주특별자치도 서귀포시 안덕면 신화역사로 185, 1층",33.30958,126.3077,정좌표
3537,레드브라운,기타,"제주특별자치도 서귀포시 안덕면 난드르로 49-50, 2층",안덕면,5.0,28.0,131.0,4.678571428571429,0.6118321864193025,1190058.0,"제주특별자치도 서귀포시 안덕면 난드르로 49-50, 2층",33.23233,126.365,정좌표
3538,까사보니따,커피숍,"제주특별자치도 서귀포시 안덕면 광평로 34-56, 제2동",안덕면,1.5,1.0,1.5,1.5,,1190442.0,"제주특별자치도 서귀포시 안덕면 광평로 34-56, 제2동",33.33411,126.3841,정좌표
3539,버터행성706,커피숍,"제주특별자치도 서귀포시 안덕면 서광동로25번길 13, 1층",안덕면,5.0,5.0,25.0,5.0,0.0,1190444.0,"제주특별자치도 서귀포시 안덕면 서광동로25번길 13, 1층",33.28865,126.3299,정좌표
3540,벼레별씨,커피숍,"제주특별자치도 서귀포시 안덕면 사계남로 80, 1층",안덕면,4.0,13.0,60.0,4.615384615384615,0.869718492622904,1190454.0,"제주특별자치도 서귀포시 안덕면 사계남로 80, 1층",33.2267,126.2988,정좌표
3541,세븐일레븐 덕수점,편의점,제주특별자치도 서귀포시 안덕면 덕수서로 91,안덕면,4.0,10.0,43.0,4.3,0.8232726023485645,1190480.0,제주특별자치도 서귀포시 안덕면 덕수서로 91,33.2587,126.3042,정좌표
3542,사계포구점세븐일레븐,편의점,"제주특별자치도 서귀포시 안덕면 사계남로153번길 2, 1층",안덕면,3.0,10.0,42.5,4.25,0.7905694150420949,1190500.0,"제주특별자치도 서귀포시 안덕면 사계남로153번길 2, 1층",33.22888,126.3065,정좌표
3543,세븐일레븐산방로드점,편의점,"제주특별자치도 서귀포시 안덕면 사계북로 190, 1층",안덕면,5.0,26.0,117.0,4.5,0.5999999999999999,1190520.0,"제주특별자치도 서귀포시 안덕면 사계북로 190, 1층",33.23761,126.307,정좌표
3544,카페한라산아래첫마을,커피숍,"제주특별자치도 서귀포시 안덕면 산록남로 675, A동 1층",안덕면,5.0,394.0,1804.5,4.57994923857868,0.7191166460299627,1190574.0,"제주특별자치도 서귀포시 안덕면 산록남로 675, A동 1층",33.32824,126.3796,정좌표
3545,제주메밀,일반조리판매,"제주특별자치도 서귀포시 안덕면 산록남로 675, B동 1층",안덕면,5.0,394.0,1804.5,4.57994923857868,0.7191166460299627,1191530.0,"제주특별자치도 서귀포시 안덕면 산록남로 675, B동 1층",33.32824,126.3796,정좌표
