,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
1734,올래장터국수,일반음식점,한식,제주특별자치도 서귀포시 서귀동 291-11번지 ,https://pcmap.place.naver.com/restaurant/1393270093/review/visitor#
1735,앵콜열무냉면,일반음식점,한식,"제주특별자치도 서귀포시 호근동 1917번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1470160616/review/visitor#
1736,마블링중앙점,일반음식점,한식,"제주특별자치도 서귀포시 서귀동 263-2번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1425861556/review/visitor#
1738,카페세린,일반음식점,한식,"제주특별자치도 서귀포시 강정동 178번지 , 102호103호 ",https://pcmap.place.naver.com/restaurant/1631467569/review/visitor#
1742,오가네진미식당,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 하효동 124-2번지 ,https://pcmap.place.naver.com/restaurant/1023065883/review/visitor#
1743,술이조화,일반음식점,한식,"제주특별자치도 서귀포시 중문동 2114-2 5층, 6층 ",https://pcmap.place.naver.com/restaurant/1009400526/review/visitor#
1744,이백장돈까스서귀포중문점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1789 중문푸른마을주공아파트 상가동 102호,https://pcmap.place.naver.com/restaurant/1261483384/review/visitor#
1745,레드빈,일반음식점,경양식,제주특별자치도 서귀포시 중문동 2059-2 ,https://pcmap.place.naver.com/restaurant/1231939013/review/visitor#
1747,쎈얼큰이,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 279-2번지 ,https://pcmap.place.naver.com/restaurant/32036246/review/visitor#
1749,서귀포칼호텔로비라운지,일반음식점,경양식,제주특별자치도 서귀포시 토평동 486-3번지 ,https://pcmap.place.naver.com/restaurant/37402230/review/visitor#
1750,행운가든,일반음식점,한식,제주특별자치도 서귀포시 대정읍 상모리 2669-4번지 ,https://pcmap.place.naver.com/restaurant/17064606/review/visitor#
1752,미향해장국본점,일반음식점,한식,제주특별자치도 서귀포시 서홍동 397-111번지 ,https://pcmap.place.naver.com/restaurant/13042206/review/visitor#
1757,약촌삼계탕,일반음식점,한식,제주특별자치도 서귀포시 토평동 1300번지 ,https://pcmap.place.naver.com/restaurant/16923380/review/visitor#
1758,연주반점,일반음식점,중국식,제주특별자치도 서귀포시 서귀동 786-3번지 ,https://pcmap.place.naver.com/restaurant/1645581753/review/visitor#
1760,둠비정원,일반음식점,한식,제주특별자치도 서귀포시 강정동 143-4번지 ,https://pcmap.place.naver.com/restaurant/16930370/review/visitor#
1764,전망좋은집,일반음식점,회집,제주특별자치도 서귀포시 성산읍 성산리 399-8번지 ,https://pcmap.place.naver.com/restaurant/1877931061/review/visitor#
1766,태흥2리어촌계횟집,일반음식점,회집,제주특별자치도 서귀포시 남원읍 태흥리 375-3번지 ,https://pcmap.place.naver.com/restaurant/1025955787/review/visitor#
1768,고기야표선점,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1010-5 ,https://pcmap.place.naver.com/restaurant/1465707111/review/visitor#
1769,서울감자탕2호점,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 92-2번지 ,https://pcmap.place.naver.com/restaurant/37152152/review/visitor#
1773,짜장마을,일반음식점,중국식,제주특별자치도 서귀포시 남원읍 남원리 111번지 ,https://pcmap.place.naver.com/restaurant/16941929/review/visitor#
1775,삼겹살땡기는날,일반음식점,한식,제주특별자치도 서귀포시 서귀동 309-17번지 ,https://pcmap.place.naver.com/restaurant/16967930/review/visitor#
1781,소담명가찰솥밥,일반음식점,한식,제주특별자치도 서귀포시 회수동 556 ,https://pcmap.place.naver.com/restaurant/1330982026/review/visitor#
1783,소담아구찜,일반음식점,한식,"제주특별자치도 서귀포시 대정읍 하모리 2127-10번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1722581408/review/visitor#
1786,영빈횟집,일반음식점,횟집,제주특별자치도 서귀포시 서귀동 68-6 ,https://pcmap.place.naver.com/restaurant/17045804/review/visitor#
1787,금모래흑돼지숯불구이,일반음식점,중국식,제주특별자치도 서귀포시 안덕면 화순리 317-3번지 ,https://pcmap.place.naver.com/restaurant/1577867423/review/visitor#
1788,청송고기국수,일반음식점,한식,제주특별자치도 서귀포시 서귀동 251-14번지 ,https://pcmap.place.naver.com/restaurant/32166527/review/visitor#
1791,도르멍수제버거,일반음식점,한식,제주특별자치도 서귀포시 서귀동 767-9 ,https://pcmap.place.naver.com/restaurant/1277679337/review/visitor#
