Column1,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
3425,와이비,와이비제주특별자치도 제주시 남광로 143 (일도이동),일반음식점,한식,제주특별자치도 제주시 남광로 143 (일도이동),
3426,봉구스밥버거제주대점,봉구스밥버거제주대점제주특별자치도 제주시 제주대학로7길 6 (아라이동),일반음식점,경양식,제주특별자치도 제주시 제주대학로7길 6 (아라이동),
3427,본죽일도점,본죽일도점제주특별자치도 제주시 고마로 101 (일도이동),일반음식점,한식,제주특별자치도 제주시 고마로 101 (일도이동),
3428,그냥호프,그냥호프제주특별자치도 제주시 용담로 29-1 (용담삼동),일반음식점,호프/통닭,제주특별자치도 제주시 용담로 29-1 (용담삼동),
3429,명천,명천제주특별자치도 제주시 구좌읍 구좌로 10,일반음식점,한식,제주특별자치도 제주시 구좌읍 구좌로 10,
3430,통큰이층,통큰이층제주특별자치도 제주시 산천단동2길 24 (아라일동),일반음식점,한식,제주특별자치도 제주시 산천단동2길 24 (아라일동),
3431,광동도남오거리,광동도남오거리제주특별자치도 제주시 동화로 3 (화북일동),일반음식점,식육(숯불구이),제주특별자치도 제주시 동화로 3 (화북일동),
3432,태희곽지,태희곽지제주특별자치도 제주시 애월읍 곽지3길 27,일반음식점,까페,제주특별자치도 제주시 애월읍 곽지3길 27,
3433,제홀스,제홀스제주특별자치도 제주시 월랑로 29 (노형동),일반음식점,경양식,제주특별자치도 제주시 월랑로 29 (노형동),
3434,통시돈,통시돈제주특별자치도 제주시 신산로 26 (일도이동),일반음식점,식육(숯불구이),제주특별자치도 제주시 신산로 26 (일도이동),
3435,동복뚝배기,동복뚝배기제주특별자치도 제주시 구좌읍 동복로 30-2,일반음식점,한식,제주특별자치도 제주시 구좌읍 동복로 30-2,
3436,자매정식,자매정식제주특별자치도 제주시 서사로19길 21,일반음식점,한식,제주특별자치도 제주시 서사로19길 21,
3437,제주촐래,제주촐래제주특별자치도 제주시 동문로9길 2 (일도일동),일반음식점,까페,제주특별자치도 제주시 동문로9길 2 (일도일동),
3438,자리왓,자리왓제주특별자치도 제주시 조공포길 30 (외도일동,일반음식점,한식,제주특별자치도 제주시 조공포길 30 (외도일동,
3439,호식이두마리치킨용담로터리점,호식이두마리치킨용담로터리점제주특별자치도 제주시 용문로 165 (용담이동),일반음식점,통닭(치킨),제주특별자치도 제주시 용문로 165 (용담이동),
3440,예쁜미소,예쁜미소제주특별자치도 제주시 신대로10길 24 (연동),일반음식점,까페,제주특별자치도 제주시 신대로10길 24 (연동),
3441,제피로스티하우스3,,일반음식점,한식,,
3442,간이역오라점,간이역오라점제주특별자치도 제주시 서사로 168 (오라일동),일반음식점,호프/통닭,제주특별자치도 제주시 서사로 168 (오라일동),
3443,그린필드레스토랑,그린필드레스토랑제주특별자치도 제주시 조천읍 번영로 1040-70,일반음식점,경양식,제주특별자치도 제주시 조천읍 번영로 1040-70,
3444,코삿헌,코삿헌제주특별자치도 제주시 조천읍 북촌9길 13-1,일반음식점,한식,제주특별자치도 제주시 조천읍 북촌9길 13-1,
3445,스시렌,스시렌제주특별자치도 제주시 원노형10길 36,일반음식점,분식,제주특별자치도 제주시 원노형10길 36,
3446,삼화스크린구내,삼화스크린구내제주특별자치도 제주시 청풍남8길 73,일반음식점,기타,제주특별자치도 제주시 청풍남8길 73,
3447,7번가피자신제주점,7번가피자신제주점제주특별자치도 제주시 수덕로 31,일반음식점,기타,제주특별자치도 제주시 수덕로 31,
3448,사계진미숯불닭갈비삼화점,사계진미숯불닭갈비삼화점제주특별자치도 제주시 건주로 33,일반음식점,식육(숯불구이),제주특별자치도 제주시 건주로 33,
3449,블랙타임,블랙타임제주특별자치도 제주시 남성로 146,일반음식점,까페,제주특별자치도 제주시 남성로 146,
3450,성지원,성지원제주특별자치도 제주시 애월읍 광령평화2길 1,일반음식점,한식,제주특별자치도 제주시 애월읍 광령평화2길 1,
3451,대학로,대학로제주특별자치도 제주시 동광로1길 32 (이도일동),일반음식점,한식,제주특별자치도 제주시 동광로1길 32 (이도일동),
3452,라면국물편의점포차제주시청점,라면국물편의점포차제주시청점제주특별자치도 제주시 중앙로 235 (이도이동),일반음식점,호프/통닭,제주특별자치도 제주시 중앙로 235 (이도이동),
3453,제주객주리조림,제주객주리조림제주특별자치도 제주시 도남로 32 (도남동),일반음식점,식육(숯불구이),제주특별자치도 제주시 도남로 32 (도남동),
3454,하귀애애,하귀애애제주특별자치도 제주시 애월읍 하귀로 43-2,일반음식점,한식,제주특별자치도 제주시 애월읍 하귀로 43-2,
3455,주연이네,주연이네제주특별자치도 제주시 은남3길 29,일반음식점,통닭(치킨),제주특별자치도 제주시 은남3길 29,
3456,이디,이디제주특별자치도 제주시 구좌읍 해녀박물관길 33-2,일반음식점,기타,제주특별자치도 제주시 구좌읍 해녀박물관길 33-2,
3457,나나,나나제주특별자치도 제주시 관덕로 64-2 (이도일동,일반음식점,한식,제주특별자치도 제주시 관덕로 64-2 (이도일동,
