,name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
158,쌍둥이기사식당,한식,제주특별자치도 서귀포시 안덕면 동광로 164,안덕면,3,4.166666667,33.3104382,126.34136570000001
159,우와국수,한식,제주특별자치도 서귀포시 안덕면 한창로 146,안덕면,358,4.7164804469999995,33.2903783,126.35385890000002
160,알동네집화순점,한식,"제주특별자치도 서귀포시 안덕면 화순로 6, 1층",안덕면,436,4.819954128,33.2459446,126.33138459999999
161,올레길회센타,일식,"제주특별자치도 서귀포시 안덕면 화순재남로 5, 1층 102호",안덕면,29,4.810344828,33.2467315,126.33197690000002
162,순천미향제주산방산본점,한식,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-73,안덕면,641,4.774570983,33.2356687,126.31255970000001
163,홀가분키친,한식,제주특별자치도 서귀포시 안덕면 창천중앙로 53-18,안덕면,3,4.333333333,33.267484700000004,126.3678412
164,서광춘희,한식,제주특별자치도 서귀포시 안덕면 화순서동로 367,안덕면,85,4.429411765,33.2833393,126.33168970000001
165,올레마당,한식,제주특별자치도 서귀포시 안덕면 사계남로 224,안덕면,1081,4.794634598,33.2331477,126.30882439999999
166,외갓집아구찜,한식,"제주특별자치도 서귀포시 안덕면 병악로 28, 1층",안덕면,12,4.083333333,33.2889938,126.3701172
167,돗통,한식,제주특별자치도 서귀포시 안덕면 사계북로41번길 189,안덕면,115,4.347826087,33.2450192,126.2983614
168,새물국수,기타,제주특별자치도 서귀포시 안덕면 화순해안로 63,안덕면,146,4.869863014,33.2412161,126.3336256
169,돈아돈아숯불구이,한식,제주특별자치도 서귀포시 안덕면 화순로 87,안덕면,1,3.5,33.246770399999996,126.33717040000002
170,서귀포시축협축산물플라자한우전문식당,식육(숯불구이),제주특별자치도 서귀포시 안덕면 중산간서로 1914-3,안덕면,55,3.954545455,33.2904786,126.3183659
171,초이,중국식,"제주특별자치도 서귀포시 안덕면 덕수서로 7, 1층",안덕면,67,4.5373134330000005,33.2544207,126.30360149999998
172,코소롱,기타,"제주특별자치도 서귀포시 대정읍 에듀시티로 148, 1층 103호 (삼정지에듀상가)",대정읍,10,5.0,33.279669,126.2771757
173,자금성,중국식,제주특별자치도 서귀포시 대정읍 상모로 318,대정읍,67,4.470149254,33.222679,126.2555098
